,name,BUSNAME,address_admin,PropAddr,APN,ACCOUNT,BUSTYPE,OWNER,APPRVALUE,ASSDVALUE,secondary_source,notes
306,Nashville Nightlife Theater,TEXAS TROUBADOUR THEATRE,2416 MUSIC VALLEY DR,2416 MUSIC VALLEY DR,6200023300,173827,Musical Groups + Artists,RUDY'S FARM COMPANY OF TENNESSEE,7493,2248,"[
 {
   ""name"": ""Nashville Nightlife Theater"",
   ""BUSNAME"": ""TENNESSEE SONGWRITERS ASSOC INTERNATIONAL"",
   ""address_admin"": ""2416 MUSIC VALLEY DR"",
   ""PropAddr"": ""2416 MUSIC VALLEY DR"",
   ""APN"": 6200023300,
   ""ACCOUNT"": 165377,
   ""BUSTYPE"": ""Office Administrative Services"",
   ""OWNER"": ""TENNESSEE SONGWRITERS ASSOC INTERNATIONAL"",
   ""APPRVALUE"": 1000,
   ""ASSDVALUE"": 300
 },
 {
   ""name"": ""Nashville Nightlife Theater"",
   ""BUSNAME"": ""MUSIC VALLEY RECORDING STUDIOS"",
   ""address_admin"": ""2416 MUSIC VALLEY DR"",
   ""PropAddr"": ""2416 MUSIC VALLEY DR"",
   ""APN"": 6200023300,
   ""ACCOUNT"": 163931,
   ""BUSTYPE"": ""Sound Recording Studios"",
   ""OWNER"": ""MUSIC VALLEY RECORDING STUDIOS"",
   ""APPRVALUE"": 11123,
   ""ASSDVALUE"": 3337
 }
]",multiple music venues possible
318,Nashville Underground,NASHVILLE UNDERGROUND LLC,105 BROADWAY,105 BROADWAY,9306210100,172051,Full Service Resturants,NASHVILLE UNDERGROUND LLC,1432358,429707,NA,NA
319,Nashville's War Memorial Auditorium,NA,301 6TH AVE N,NA,9301008100,NA,NA,NA,NA,NA,NA,NA
320,Nectar Urban Cantina,NECTAR LLC,206 MCGAVOCK PIKE,206 MCGAVOCK PIKE,9504003100,173908,Small Resturants-Independents,NECTAR URBAN CANTINA,179203,53761,NA,NA
321,Neighbors of Sylvan Park,MURPHY ROAD GROUP INC,4425 MURPHY RD,4425 MURPHY RD,10308005400,156421,Drinking Places (Alcoholic Bev,STOCKHOLDERS,79522,23857,NA,NA
323,Nissan Stadium,CUMBERLAND STADIUM,1 TITANS WAY,1 TITANS WAY,9303006600,110276,Fitness + Recreational Sports,KSA INDUSTRIES INC,2829521,848856,"[
 {
   ""name"": ""Nissan Stadium"",
   ""BUSNAME"": ""TICKETMASTER LLC"",
   ""address_admin"": ""1 TITANS WAY"",
   ""PropAddr"": ""1 TITANS WAY"",
   ""APN"": 9303006600,
   ""ACCOUNT"": 133890,
   ""BUSTYPE"": ""Equipment Only"",
   ""OWNER"": ""TICKET MASTER LLC"",
   ""APPRVALUE"": 48363,
   ""ASSDVALUE"": 14509
 },
 {
   ""name"": ""Nissan Stadium"",
   ""BUSNAME"": ""NISSAN STADIUM- RESTURANT"",
   ""address_admin"": ""1 TITANS WAY"",
   ""PropAddr"": ""1 TITANS WAY"",
   ""APN"": 9303006600,
   ""ACCOUNT"": 170699,
   ""BUSTYPE"": ""Full Service Resturants"",
   ""OWNER"": ""NISSAN STADIUM"",
   ""APPRVALUE"": 716871,
   ""ASSDVALUE"": 215061
 }
]",multiple music venues possible
337,Noble's East Nashville,"MEGA LOT, LLC",974 MAIN ST,974 MAIN ST,8309019300,171342,Small Resturants-Independents,NOBLE`S,198719,59616,NA,NA
338,Nudie's Honky Tonk,"BROADWAY HONKY TONK VENTURE, LLC",409 BROADWAY,409 BROADWAY,9306400600,167938,Full Service Resturants,NUDIE`S HONKY TONK,559764,167929,NA,NA
343,Old Glory,OLD GLORY,1200 VILLA PL,1200 VILLA PL,10501023300,169003,Drinking Places (Alcoholic Bev,OLD GLORY,156134,46840,NA,NA
353,Ole Red,OLE RED NASHVILLE,300 BROADWAY,300 BROADWAY,9306202900,173376,Drinking Places (Alcoholic Bev,"OLE RED HOLDINGS, INC.",2906000,871800,NA,NA
354,Opry Backstage Grill,INN AT OPRYLAND,2401 MUSIC VALLEY DR,2401 MUSIC VALLEY DR,6200002900,95066,Economy Hotel,MARRIOTT HOTEL SERVICES INC,2195389,658617,NA,NA
356,Out Loud Music Festival; Tomato Art Fest,NA,14 JAMES ROBERTSON PKWY,NA,8215006700,NA,NA,NA,NA,NA,NA,NA
358,Outback Presents,"OUTBACK PRESENTS, LLC",209 10TH AVE S,209 10TH AVE S,9309032000,93330,Office Administrative Services,"OUTBACK PRESENTS, LLC",32245,9674,NA,NA
406,Oz Arts Nashville,"OZ ARTS, INC.",6172 COCKRILL BEND CIR,6172 COCKRILL BEND CIR,7900009400,155339,Event Venue,OZ EVENTS LLC,180004,54001,NA,NA
407,Phat Bites Deli & Bar,PHAT BITES DELI + RESTAURANT,2730 LEBANON PIKE,2730 LEBANON PIKE,9601001000,114186,Small Resturants-Independents,PHAT BITES DELI + RESTAURANT,11113,3334,NA,NA
410,Plaza Mariachi,TBLC MEDIA LLC,3955 NOLENSVILLE PIKE,3955 NOLENSVILLE PIKE,13315015400,157221,Office Administrative Services,TBLC MEDIA LLC,208864,62659,NA,none look correct
431,Ray Stevens CabaRay,RAY STEVENS CABARAY SHOWROOM,5724 RIVER RD,5724 RIVER RD,10200001200,171399,Drinking Places (Alcoholic Bev,"STEVENS, RAY",978287,293486,"[
 {
   ""name"": ""Ray Stevens CabaRay"",
   ""BUSNAME"": ""AHAB MUSIC CO INC"",
   ""address_admin"": ""5724 RIVER RD"",
   ""PropAddr"": ""5724 RIVER RD"",
   ""APN"": 10200001200,
   ""ACCOUNT"": 89833,
   ""BUSTYPE"": ""Musical Groups + Artists"",
   ""OWNER"": ""NA"",
   ""APPRVALUE"": 0,
   ""ASSDVALUE"": 0
 },
 {
   ""name"": ""Ray Stevens CabaRay"",
   ""BUSNAME"": ""RAY STEVENS MUSIC"",
   ""address_admin"": ""5724 RIVER RD"",
   ""PropAddr"": ""5724 RIVER RD"",
   ""APN"": 10200001200,
   ""ACCOUNT"": 89834,
   ""BUSTYPE"": ""Musical Groups + Artists"",
   ""OWNER"": ""NA"",
   ""APPRVALUE"": 0,
   ""ASSDVALUE"": 0
 },
 {
   ""name"": ""Ray Stevens CabaRay"",
   ""BUSNAME"": ""RAY STEVENS (ANNEX)"",
   ""address_admin"": ""5724 RIVER RD"",
   ""PropAddr"": ""5724 RIVER RD"",
   ""APN"": 10200001200,
   ""ACCOUNT"": 142240,
   ""BUSTYPE"": ""Musical Groups + Artists"",
   ""OWNER"": ""RAY STEVENS (ANNEX)"",
   ""APPRVALUE"": 0,
   ""ASSDVALUE"": 0
 }
]",multiple music venues possible
432,Red Door Saloon,RED DOOR SALOON THE,1816 DIVISION ST,1816 DIVISION ST,9216022300,126045,Drinking Places (Alcoholic Bev,RED DOOR SALOON,63164,18949,NA,NA
433,Red Door Saloon East,RED DOOR SALOON EAST,1010 FORREST AVE,1010 FORREST AVE,8309012700,128371,Drinking Places (Alcoholic Bev,"CLARKE, RIC",61570,18471,NA,NA
436,Redneck Riviera,REDNECK RIVIERA BAR & BBQ,208 BROADWAY,208 BROADWAY,9306211100,172973,Drinking Places (Alcoholic Bev,"RICH, JOHN",896318,268895,NA,hotel
438,Renaissance Nashville Hotel-Bridge Bar,NA,611 COMMERCE ST,611 COMMERCE ST,9306311900,NA,NA,NA,NA,NA,NA,none look correct
443,Rippy's Smokin' Bar & Grill,RIPPY`S SMOKING BAR + GRILL,429 BROADWAY,429 BROADWAY,9306310400,120657,Limited Service-Fast Food,RIPPY`S SMOKING BAR + GRILL,190998,57299,NA,NA
444,Rocketown (Main Building),ROCKETOWN,601 4TH AVE S,601 4TH AVE S,9310038100,124598,Music/Performance Venue,ROCKETOWN,213736,64121,NA,NA
445,Santa's Pub,SANTA`S PUB,2225 BRANSFORD AVE,2225 BRANSFORD AVE,10515006000,155461,Drinking Places (Alcoholic Bev,ELMER DENZEL IRWIN,6344,1903,NA,NA
446,Schermerhorn Symphony Center,NA,1 SYMPHONY PL,NA,9306406200,NA,NA,NA,NA,NA,NA,NA
447,Sheraton Downtown Nashville,NASHVILLE HOSPITALITY LLC,623 UNION ST,623 UNION ST,9305201600,99414,Full Service Hotel,NASHVILLE HOSPITALITY LLC,7380185,2214056,"[
 {
   ""name"": ""Sheraton Downtown Nashville"",
   ""BUSNAME"": ""ENCORE GROUP USA LLC"",
   ""address_admin"": ""623 UNION ST"",
   ""PropAddr"": ""623 UNION ST"",
   ""APN"": 9305201600,
   ""ACCOUNT"": 146202,
   ""BUSTYPE"": ""Equipment Only"",
   ""OWNER"": ""AUDIO VISUAL SERVICES GROUP LLC"",
   ""APPRVALUE"": 48773,
   ""ASSDVALUE"": 14632
 }
]",hotel
450,Sid Gold<92>s Request Room,SID GOLD`S REQUEST ROOM,3245 GALLATIN PIKE,3245 GALLATIN PIKE,7206004500,179707,Drinking Places (Alcoholic Bev,SID GOLD`S REQUEST ROOM,58309,17493,NA,NA
454,Sinema,SINEMA RESTAURANT,2600 8TH AVE S,2600 8TH AVE S,11802026300,161666,Full Service Resturants,SINEMA RESTAURANT,425915,127775,NA,NA
458,Solberg Studios,NA,1618 JEFFERSON ST,NA,8115059500,NA,NA,NA,NA,NA,NA,NA
459,Southern Grist Brewing East Nashville,NA,754 DOUGLAS AVE,NA,7116030200,NA,NA,NA,NA,NA,NA,NA
462,Star Rover Sound,STAR ROVER SOUND,1400 ADAMS ST,1400 ADAMS ST,8205017200,179257,Limited Service-Fast Food,STAR ROVER SOUND,98975,29693,NA,NA
