"","name","address_admin","APN","url","zip","county","city","y","x"
"86","Nashville Municipal Auditorium","417 4TH AVE N","09302001300","https://www.nashvilleauditorium.com/",37201,"Davidson","Nashville",36.1675228673492,-86.7822397826025
"87","Nashville Nightlife Theater","2416 MUSIC VALLEY DR","06200023300","http://www.nashvillenightlife.com/",37214,"Davidson","Nashville",36.2193629960737,-86.6971097730653
"88","Nashville Underground","105 BROADWAY","09306210100","https://www.nashunderground.com/",37201,"Davidson","Nashville",36.1618162660194,-86.7744782712609
"89","Nashville's War Memorial Auditorium","301 6TH AVE N","09301008100","https://www.tpac.org/rentals/war-memorial-auditorium/",37243,"Davidson","Nashville",36.1644895542079,-86.7831345291273
"90","Nectar Urban Cantina","206 MCGAVOCK PIKE","09504003100","https://www.nectarcantina.com/",37214,"Davidson","Nashville",36.1681389042098,-86.6807180053028
"91","Neighbors of Sylvan Park","4425 MURPHY RD","10308005400","No website available",37209,"Davidson","Nashville",36.1407000343448,-86.840106106772
"92","Nissan Stadium","1 TITANS WAY","09303006600","https://www.tennesseetitans.com/stadium/",37213,"Davidson","Nashville",36.1661718380032,-86.7715277080985
"93","Noble's East Nashville","974 MAIN ST","08309019300","http://noblesbeerhall.com/",37206,"Davidson","Nashville",36.1776242311874,-86.7519245439188
"94","Nudie's Honky Tonk","409 BROADWAY","09306400600","https://www.nudieshonkytonk.com/",37203,"Davidson","Nashville",36.1605166616766,-86.7773290764037
"95","Old Glory","1200 VILLA PL","10501023300","https://oldglorynashville.com/",37212,"Davidson","Nashville",36.1427160803375,-86.791675486161
"96","Ole Red","300 BROADWAY","09306202900","https://olered.com/nashville/",37201,"Davidson","Nashville",36.1617422644678,-86.776286262436
"97","Opry Backstage Grill","2401 MUSIC VALLEY DR","06200002900","https://www.marriott.com/en-us/hotels/bnagi-the-inn-at-opryland-a-gaylord-hotel/dining/?EM=DNM_OPRYBACKSTAGEGRILL.COM",37214,"Davidson","Nashville",36.2178625537805,-86.6949961412843
"98","Out Loud Music Festival; Tomato Art Fest","14 JAMES ROBERTSON PKWY","08215006700","https://www.tomatoartfest.com/",37206,"Davidson","Nashville",36.1737113004534,-86.7683128688773
"99","Out Loud Music Festival; Tomato Art Fest","14 JAMES ROBERTSON PKWY","08215006700","https://www.tomatoartfest.com/",37206,"Davidson","Nashville",36.1770163838316,-86.7492334409574
